1.65	0.65	-1	0.0852027	-7.34419e-05	0.00118747	1.04118
1.65	0.65	-0.6	0.0852027	-7.34419e-05	0.00118747	1.04118
1.65	0.65	-0.25	0.088029	-0.0104127	-0.00470305	1.04118
1.65	0.65	0.05	0.0919344	0.00435169	-0.0130418	1.04118
1.65	0.65	0.35	0.116149	-0.00664427	0.00785705	1.04118
1.65	0.65	0.65	0.130485	-0.012539	-0.0239471	1.04118
1.65	0.65	0.9	0.16478	-0.0121831	-0.0132521	1.04118
1.65	0.65	1	0.16478	-0.0121831	-0.0132521	1.04118
1.725	0.65	-1	0.0842844	-0.0138665	-0.013941	1.05012
1.725	0.65	-0.6	0.0842844	-0.0138665	-0.013941	1.05012
1.725	0.65	-0.25	0.102092	-0.00812919	-0.0224067	1.05012
1.725	0.65	0.05	0.144233	-0.0216176	-0.0556887	1.05012
1.725	0.65	0.35	0.182088	-0.0539764	-0.0895893	1.05012
1.725	0.65	0.65	0.27182	-0.0526423	-0.106382	1.05012
1.725	0.65	0.9	0.390322	0.00100763	-0.0609724	1.05012
1.725	0.65	1	0.390322	0.00100763	-0.0609724	1.05012
1.775	0.65	-1	0.0457093	-0.0116809	-0.00239883	1.05709
1.775	0.65	-0.6	0.0457093	-0.0116809	-0.00239883	1.05709
1.775	0.65	-0.25	0.084042	-0.00585815	-0.026702	1.05709
1.775	0.65	0.05	0.13437	-0.0170435	-0.0528463	1.05709
1.775	0.65	0.35	0.178151	-0.0267117	-0.0771429	1.05709
1.775	0.65	0.65	0.249399	-0.024792	-0.0490498	1.05709
1.775	0.65	0.9	0.343961	0.0199659	-0.0469753	1.05709
1.775	0.65	1	0.343961	0.0199659	-0.0469753	1.05709
1.825	0.65	-1	0.048063	-0.00906344	-0.00298445	1.06497
1.825	0.65	-0.6	0.048063	-0.00906344	-0.00298445	1.06497
1.825	0.65	-0.25	0.087962	-0.00909785	-0.0283486	1.06497
1.825	0.65	0.05	0.118506	-0.0198016	-0.0357524	1.06497
1.825	0.65	0.35	0.163128	-0.0355828	-0.0421451	1.06497
1.825	0.65	0.65	0.204384	-0.0319426	-0.0492497	1.06497
1.825	0.65	0.9	0.288096	-0.000950584	-0.0383735	1.06497
1.825	0.65	1	0.288096	-0.000950584	-0.0383735	1.06497
1.875	0.65	-1	0.0615138	0.00347542	-0.0156292	1.07383
1.875	0.65	-0.6	0.0615138	0.00347542	-0.0156292	1.07383
1.875	0.65	-0.25	0.0777905	0.00128709	-0.0135226	1.07383
1.875	0.65	0.05	0.101526	-0.00700845	-0.0340826	1.07383
1.875	0.65	0.35	0.135112	-0.0292467	-0.0334156	1.07383
1.875	0.65	0.65	0.186967	-0.0298443	-0.0516999	1.07383
