1.1278  60.2
1.14267  100
1.16623  172.7
1.2011  285.1
1.21585  354.8
1.23499  260
1.24783  215.4
1.26722  160.2
1.27387  143
1.28414  118.7
1.30155  89.8
1.3237  65.8
1.3434  50.3
1.36624  42.5
1.38669  32.6
1.39747  30.4
1.41481  28.5
1.42867  27.4
1.44304  27.4
1.45662  28.7
1.47899  33.5
1.48469  36.6
1.51099  38.6
1.53989  36.4
1.54172  33.9
1.55565  29.6
1.56826  26.7
1.57661  24.1
1.59259  22.1
1.61017  20
1.62351  21.5
1.6356  22.8
1.64532  24.5
1.65838  26.7
1.6747  27.5
1.67862  25.8
1.6964  23.1
1.71182  20.4
1.71892  18
1.72763  16
1.74008  14
1.74761  13
1.75671  12
1.79003  10.6
1.83147  10.7
1.85892  11
1.89044  11.1
1.92876  10.3
1.95916  9.1
1.99615  8
2.02369  6.9
2.05451  5.9
2.08217  5.4
2.10769  4.7
2.13027  4.2
2.14606  3.9
2.55105  2.5
2.89549  1.5
3.2031  1
3.48365  1
3.74324  1
4.43169  1
5.02671  1
