1.12946  106.1
1.1484  131.8
1.15573  147.6
1.16945  177.8
1.18221  201.3
1.20266  223.2
1.22277  214.1
1.2266  195.1
1.23726  170.5
1.25008  152.2
1.27239  116.3
1.31017  102.7
1.32865  97.5
1.35798  90.7
1.38939  91.6
1.42077  86.1
1.44109  92.5
1.47009  95.4
1.48595  103.6
1.50539  91.5
1.51842  80
1.53684  63.7
1.55142  56.8
1.56527  51.8
1.58136  48.6
1.60433  50.2
1.6287  51.2
1.64817  53.9
1.6747  52.2
1.69806  44.7
1.70798  38.7
1.72111  31.1
1.74008  26.1
1.76682  20.3
1.79735  16.5
1.80983  16.5
1.84576  16
1.91166  15.2
1.97727  12.5
2.04306  9.8
2.09743  7.2
2.143  5
2.55105  3
2.89549  2
3.2031  1.4
3.48365  1.4
3.74324  1.4
4.43169  1.4
5.02671  1.4
